pos_ft,acceleration
0.50069,0.0349645
0.50069,0.0349645
0.5056,0
0.5056,0.0324528
0.5056,0.0317489
0.51051,0
0.51051,0.030021
0.51051,0.030767556
0.51542,0.029461
0.51542,0.025792429
0.51542,0.021834833
0.52033,0.021834833
0.52033,0.019142
0.52033,0.019142
0.52523,0.016326
0.52523,0.016326
0.52523,0.015942
0.53014,0.015355333
0.53014,0.015355333
0.53505,0
0.53505,0.028229
0.53996,0.028229
0.53996,0
0.53996,0.0347724
0.54487,0.0347724
0.54487,0
0.54487,0.0342768
0.54978,0.031877
0.54978,0.031877
0.54978,0.030474333
0.55469,0.030461
0.55469,0.030461
0.55469,0.033894368
0.5596,0.033894368
0.5596,0.03946
0.5645,0
0.5645,0.04122
0.5645,0.048259333
0.56941,0
0.56941,0.053891
0.56941,0.0611867
0.57432,0
0.57432,0.064338
0.57432,0.066398
0.57923,0.067138
0.57923,0.0637463
0.57923,0.0637463
0.58414,0
0.58414,0
0.58905,0.060579
0.58905,0.059459
0.58905,0.052803
0.59396,0.050979
0.59396,0.050091727
0.59396,0.050499
0.59887,0.054131
0.59887,0.054131
0.60377,0
0.60377,0.059063706
0.60377,0.059192333
0.60868,0
0.60868,0.056755
0.61359,0.056755
0.61359,0
0.61359,0.0513311
0.6185,0.0513311
0.6185,0.04402
0.62341,0
0.62341,0.042084
0.63814,0.04354
0.63814,0
0.64304,0.04098
0.64304,0.03834
0.64304,0.03834
0.64795,0.032060833
0.64795,0.026441
0.65286,0.026441
0.65286,0
0.65286,0.024837
0.65777,0.025261
0.65777,0.025261
0.66268,0.026021
0.66268,0.033541
0.66759,0.037160125
0.66759,0.04186
0.66759,0.054003
0.6725,0
0.6725,0.0605309
0.67741,0.0605309
0.67741,0
0.68231,0.062658333
0.68231,0.062658333
0.68722,0.061739
0.68722,0.059939
0.68722,0.055107
0.69213,0.0470276
0.69213,0
0.69704,0.03922
0.69704,0.03922
0.70195,0
0.70195,0.0343086
0.70686,0.0343086
0.70686,0
0.70686,0.0345326
0.71177,0.03642
0.71177,0.039975556
0.71668,0.04346
0.71668,0.057459
0.72158,0.057459
0.72158,0.059539
0.72649,0.062618125
0.72649,0.062618125
0.7314,0.0626824
0.7314,0.0626824
0.73631,0.0626824
0.73631,0
0.74122,0.05281925
0.74122,0.052739
0.74613,0.050339
